Entry	Gene names	Entry name
Q8N138	ORMDL3	ORML3_HUMAN
Q9BXW6	OSBPL1A ORP1 OSBP8 OSBPL1 OSBPL1B	OSBL1_HUMAN
Q8IYS5	OSCAR	OSCAR_HUMAN
Q9NPF4	OSGEP GCPL1	OSGEP_HUMAN
Q86UW2	SLC51B OSTB	OSTB_HUMAN
P02818	BGLAP	OSTCN_HUMAN
P00480	OTC	OTC_HUMAN
Q9HC10	OTOF FER1L2	OTOF_HUMAN
Q6ZRI0	OTOG OTGN	OTOG_HUMAN
Q5VVQ6	YOD1 DUBA8 HIN7 OTUD2 PRO0907	OTU1_HUMAN
Q96G74	OTUD5	OTUD5_HUMAN
A6NNC1		P12LL_HUMAN
Q9Y5P8	PPP2R3B PPP2R3L	P2R3B_HUMAN
Q9UBL9	P2RX2 P2X2	P2RX2_HUMAN
Q99571	P2RX4	P2RX4_HUMAN
Q15077	P2RY6 PP2891	P2RY6_HUMAN
O00398	P2RY10	P2Y10_HUMAN
Q96G91	P2RY11	P2Y11_HUMAN
Q32P28	P3H1 GROS1 LEPRE1 PSEC0109	P3H1_HUMAN
Q8IVL6	P3H3 LEPREL2	P3H3_HUMAN
Q96FE7	PIK3IP1 HGFL	P3IP1_HUMAN
O15460	P4HA2 UNQ290/PRO330	P4HA2_HUMAN
Q7Z4N8	P4HA3 UNQ711/PRO1374	P4HA3_HUMAN
Q9NXG6	P4HTM PH4	P4HTM_HUMAN
Q8WXI9	GATAD2B KIAA1150	P66B_HUMAN
O15350	TP73 P73	P73_HUMAN
Q15102	PAFAH1B3 PAFAHG	PA1B3_HUMAN
Q3MJ16	PLA2G4E	PA24E_HUMAN
Q9UQ80	PA2G4 EBP1	PA2G4_HUMAN
Q9BZM2	PLA2G2F	PA2GF_HUMAN
Q9BRP4	PAAF1 WDR71	PAAF1_HUMAN
Q96DU9	PABPC5 PABP5	PABP5_HUMAN
P10515	DLAT DLTA	ODP2_HUMAN
Q8N543	OGFOD1 KIAA1612 TPA1	OGFD1_HUMAN
Q6N063	OGFOD2	OGFD2_HUMAN
Q6UWY5	OLFML1 UNQ564/PRO1126	OLFL1_HUMAN
Q7RTU3	OLIG3 BHLHB7 BHLHE20	OLIG3_HUMAN
A6NGQ2	OOEP C6orf156 KHDC2 OEP19	OOEP_HUMAN
O14841	OPLAH	OPLA_HUMAN
P41143	OPRD1 OPRD	OPRD_HUMAN
P41145	OPRK1 OPRK	OPRK_HUMAN
Q96R84	OR1F2P OR1F2	OR1F2_HUMAN
Q8NGS3	OR1J1	OR1J1_HUMAN
Q8NGR3	OR1K1	OR1K1_HUMAN
Q8NH93	OR1L3	OR1L3_HUMAN
Q8NGA1	OR1M1	OR1M1_HUMAN
Q8NH06	OR1P1 OR1P1P	OR1P1_HUMAN
Q15612	OR1Q1 OR1Q2 OR1Q3	OR1Q1_HUMAN
Q8NGQ3	OR1S2	OR1S2_HUMAN
Q8NGH3	OR2D3	OR2D3_HUMAN
Q8NGZ5	OR2G2	OR2G2_HUMAN
Q9GZK4	OR2H1 OR2H6 OR2H8	OR2H1_HUMAN
Q8NGT1	OR2K2 OR2AR1P	OR2K2_HUMAN
Q8NG80	OR2L5 OR2L11	OR2L5_HUMAN
Q8N349	OR2L13 OR2L14	OR2LD_HUMAN
O43869	OR2T1	OR2T1_HUMAN
Q8NH03	OR2T3	OR2T3_HUMAN
Q8NHC8	OR2T6 OR2T6P OR2T9	OR2T6_HUMAN
Q8NHB1	OR2V1	OR2V1_HUMAN
Q7Z3T1	OR2W3 OR2W3P OR2W8P	OR2W3_HUMAN
P47881	OR3A1 OLFRA03	OR3A1_HUMAN
O95222	OR6A2 OR6A1 OR6A2P	OR6A2_HUMAN
Q8NGW1	OR6B3 OR6B3P	OR6B3_HUMAN
A6NF89	OR6C6	OR6C6_HUMAN
Q8NGU1	OR9A1P OR9A1	OR9A1_HUMAN
O43929	ORC4 ORC4L	ORC4_HUMAN
Q9Y5N6	ORC6 ORC6L	ORC6_HUMAN
Q53FV1	ORMDL2 HSPC160 MSTP095	ORML2_HUMAN
Q9Y3B8	REXO2 SFN SMFN CGI-114	ORN_HUMAN
Q9H1P3	OSBPL2 KIAA0772 ORP2	OSBL2_HUMAN
Q9H0X9	OSBPL5 KIAA1534 OBPH1 ORP5	OSBL5_HUMAN
Q9BZF3	OSBPL6 ORP6	OSBL6_HUMAN
Q96SU4	OSBPL9 ORP9 OSBP4	OSBL9_HUMAN
Q969R2	OSBP2 KIAA1664 ORP4 OSBPL4	OSBP2_HUMAN
P10451	SPP1 BNSP OPN PSEC0156	OSTP_HUMAN
Q7RTM1	OTOP1	OTOP1_HUMAN
Q7RTS5	OTOP3	OTOP3_HUMAN
Q9NRC9	OTOR FDP MIAL UNQ3054/PRO9873	OTOR_HUMAN
Q5XKR4	OTP	OTP_HUMAN
Q8TE49	OTUD7A C15orf16 CEZANNE2 OTUD7	OTU7A_HUMAN
Q6GQQ9	OTUD7B ZA20D1	OTU7B_HUMAN
Q96DC9	OTUB2 C14orf137 OTB2 OTU2	OTUB2_HUMAN
Q5T2D3	OTUD3 KIAA0459	OTUD3_HUMAN
P32243	OTX2	OTX2_HUMAN
O43613	HCRTR1	OX1R_HUMAN
O43614	HCRTR2	OX2R_HUMAN
Q96HP4	OXNAD1	OXND1_HUMAN
Q9NWU1	OXSM	OXSM_HUMAN
A6NF01	POM121B	P121B_HUMAN
A8CG34	POM121C	P121C_HUMAN
Q3SYA9	POM121L1P POM121L1	P12L1_HUMAN
Q8IYS1	PM20D2 ACY1L2	P20D2_HUMAN
Q96A73	KIAA1191 P33MONOX	P33MX_HUMAN
O00443	PIK3C2A	P3C2A_HUMAN
O75747	PIK3C2G	P3C2G_HUMAN
O43422	THAP12 DAP4 P52RIPK PRKRIR THAP0	P52K_HUMAN
P54886	ALDH18A1 GSAS P5CS PYCS	P5CS_HUMAN
Q06416	POU5F1B OCT4PG1 OTF3C OTF3P1 POU5F1P1 POU5FLC20 POU5FLC8	P5F1B_HUMAN
P39656	DDOST KIAA0115 OST48 OK/SW-cl.45	OST48_HUMAN
Q7RTS6	OTOP2	OTOP2_HUMAN
Q99572	P2RX7	P2RX7_HUMAN
P47900	P2RY1	P2RY1_HUMAN
Q86VZ1	P2RY8	P2RY8_HUMAN
Q9BPV8	P2RY13 GPR86 GPR94 FKSG77	P2Y13_HUMAN
P32322	PYCR1	P5CR1_HUMAN
O14683	TP53I11 PIG11	P5I11_HUMAN
Q86YP4	GATAD2A	P66A_HUMAN
P68402	PAFAH1B2 PAFAHB	PA1B2_HUMAN
P0CB38	PABPC4L	PAB4L_HUMAN
Q86U42	PABPN1 PAB2 PABP2	PABP2_HUMAN
P18509	ADCYAP1	PACA_HUMAN
Q6VY07	PACS1 KIAA1175	PACS1_HUMAN
Q9BSG0	PRADC1 C2orf7 PAP21 UNQ833/PRO1760	PADC1_HUMAN
Q8WX93	PALLD KIAA0992 CGI-151	PALLD_HUMAN
Q5QFB9	PAPPA-AS1 DIPAS PAPPAS	PAPAS_HUMAN
Q6TCH7	PAQR3	PAQR3_HUMAN
Q9NR21	PARP11 C12orf6	PAR11_HUMAN
Q460N3	PARP15 BAL3	PAR15_HUMAN
P25116	F2R CF2R PAR1 TR	PAR1_HUMAN
Q9NWS1	PARPBP C12orf48 PARI	PARI_HUMAN
Q9Y6F1	PARP3 ADPRT3 ADPRTL3	PARP3_HUMAN
Q9HBI1	PARVB CGI-56	PARVB_HUMAN
Q96MG8	PCMTD1	PCMD1_HUMAN
Q58A44	C1QTNF9B-AS1 PCOTH	PCOTH_HUMAN
Q8IVA1	PCP2	PCP2_HUMAN
Q92824	PCSK5 PC5 PC6	PCSK5_HUMAN
P29122	PCSK6 PACE4	PCSK6_HUMAN
Q8NBP7	PCSK9 NARC1 PSEC0052	PCSK9_HUMAN
Q96RV3	PCNX1 KIAA0805 KIAA0995 PCNX PCNXL1	PCX1_HUMAN
A6NKB5	PCNX2 KIAA0435 PCNXL2	PCX2_HUMAN
Q9UHG3	PCYOX1 KIAA0908 PCL1 UNQ597/PRO1183	PCYOX_HUMAN
Q9NZQ7	CD274 B7H1 PDCD1L1 PDCD1LG1 PDL1	PD1L1_HUMAN
P54750	PDE1A	PDE1A_HUMAN
P35913	PDE6B PDEB	PDE6B_HUMAN
P51160	PDE6C PDEA2	PDE6C_HUMAN
Q9UM07	PADI4 PAD4 PADI5 PDI5	PADI4_HUMAN
P09466	PAEP	PAEP_HUMAN
Q7Z2X7	PAGE2 GAGEC2 GAGEE2	PAGE2_HUMAN
O14832	PHYH PAHX	PAHX_HUMAN
Q9ULR5	PAIP2B KIAA1155	PAI2B_HUMAN
Q13153	PAK1	PAK1_HUMAN
Q13177	PAK2	PAK2_HUMAN
F5H284	PPIAL4D	PAL4D_HUMAN
Q6UXH9	PAMR1 RAMP FP938 UNQ699/PRO1344	PAMR1_HUMAN
Q504Q3	PAN2 KIAA0710 USP52	PAN2_HUMAN
I0J062	PANO1 PANO	PANO1_HUMAN
Q53EL6	PDCD4 H731	PDCD4_HUMAN
Q8N8D1	PDCD7	PDCD7_HUMAN
Q8N4E4	PDCL2	PDCL2_HUMAN
Q13370	PDE3B	PDE3B_HUMAN
O76074	PDE5A PDE5	PDE5A_HUMAN
Q9NUG6	PDRG1 C20orf126 PDRG	PDRG1_HUMAN
O15018	PDZD2 AIPC KIAA0300 PDZK3	PDZD2_HUMAN
Q8NEN9	PDZD8 PDZK8	PDZD8_HUMAN
P30086	PEBP1 PBP PEBP	PEBP1_HUMAN
P16284	PECAM1	PECA1_HUMAN
Q96HM7	PCED1B FAM113B	PED1B_HUMAN
P05164	MPO	PERM_HUMAN
Q9Y5Y5	PEX16	PEX16_HUMAN
A6NFU8	PGPEP1L	PGPIL_HUMAN
Q9NWQ8	PAG1 CBP PAG	PHAG1_HUMAN
O94880	PHF14 KIAA0783	PHF14_HUMAN
Q9BUL5	PHF23	PHF23_HUMAN
Q7RTV0	PHF5A	PHF5A_HUMAN
Q9BWX1	PHF7	PHF7_HUMAN
Q9UPP1	PHF8 KIAA1111 ZNF422	PHF8_HUMAN
Q96FC7	PHYHIPL KIAA1796 UNQ6309/PRO20934	PHIPL_HUMAN
Q16816	PHKG1 PHKG	PHKG1_HUMAN
P80108	GPLD1 PIGPLD1	PHLD_HUMAN
Q8TCT1	PHOSPHO1	PHOP1_HUMAN
Q9H611	PIF1 C15orf20	PIF1_HUMAN
Q8TBF5	PIGX	PIGX_HUMAN
Q9NQM4	PIH1D3 CXorf41	PIHD3_HUMAN
P47712	PLA2G4A CPLA2 PLA2G4	PA24A_HUMAN
Q5R387	PLA2G2C	PA2GC_HUMAN
P11940	PABPC1 PAB1 PABP1 PABPC2	PABP1_HUMAN
Q96M98	PACRG GLUP	PACRG_HUMAN
P41586	ADCYAP1R1	PACR_HUMAN
Q13093	PLA2G7 PAFAH	PAFA_HUMAN
Q8TEW8	PARD3B ALS2CR19 PAR3B PAR3L	PAR3L_HUMAN
B3GLJ2	PATE3	PATE3_HUMAN
O43316	PAX4	PAX4_HUMAN
P55771	PAX9	PAX9_HUMAN
Q9BUH6	C9orf142 PAXX XLS	PAXX_HUMAN
Q8NF37	LPCAT1 AYTL2 PFAAP3	PCAT1_HUMAN
P05166	PCCB	PCCB_HUMAN
Q96JQ0	DCHS1 CDH19 CDH25 FIB1 KIAA1773 PCDH16	PCD16_HUMAN
O14917	PCDH17 PCDH68 PCH68	PCD17_HUMAN
Q8TAB3	PCDH19 KIAA1313	PCD19_HUMAN
Q6V1P9	DCHS2 CDH27 CDHJ PCDH23 PCDHJ	PCD23_HUMAN
Q9Y5H7	PCDHA5 CNRS6	PCDA5_HUMAN
Q9Y5I0	PCDHA13 CNRS5	PCDAD_HUMAN
Q9Y5E5	PCDHB4	PCDB4_HUMAN
Q9Y5E4	PCDHB5	PCDB5_HUMAN
Q9Y5E3	PCDHB6	PCDB6_HUMAN
Q9UN67	PCDHB10 UNQ1906/PRO4352	PCDBA_HUMAN
Q9Y5F1	PCDHB12	PCDBC_HUMAN
Q9NRJ7	PCDHB16 KIAA1621 PCDH3X	PCDBG_HUMAN
Q9H158	PCDHAC1	PCDC1_HUMAN
Q9Y5G8	PCDHGA5	PCDG5_HUMAN
Q9Y5G7	PCDHGA6	PCDG6_HUMAN
O60330	PCDHGA12 CDH21 FIB3 KIAA0588 UNQ371/PRO707	PCDGC_HUMAN
Q9UN71	PCDHGB4 CDH20 FIB2	PCDGG_HUMAN
Q9Y5F9	PCDHGB6	PCDGI_HUMAN
O95206	PCDH8	PCDH8_HUMAN
Q3KNV8	PCGF3 RNF3 RNF3A	PCGF3_HUMAN
Q5JVF3	PCID2 HT004	PCID2_HUMAN
Q8WW12	PCNP	PCNP_HUMAN
Q16549	PCSK7 LPC PC7 PC8 SPC7	PCSK7_HUMAN
Q13258	PTGDR	PD2R_HUMAN
Q9HCR9	PDE11A	PDE11_HUMAN
Q08499	PDE4D DPDE3	PDE4D_HUMAN
P50542	PEX5 PXR1	PEX5_HUMAN
Q9NQP4	PFDN4 PFD4	PFD4_HUMAN
Q96G03	PGM2 MSTP006	PGM2_HUMAN
Q32NB8	PGS1	PGPS1_HUMAN
A6NDG6	PGP	PGP_HUMAN
O15173	PGRMC2 DG6 PMBP	PGRC2_HUMAN
Q96PD5	PGLYRP2 PGLYRPL PGRPL UNQ3103/PRO10102	PGRP2_HUMAN
P21810	BGN SLRR1A	PGS1_HUMAN
P07585	DCN SLRR1B	PGS2_HUMAN
Q9C0D0	PHACTR1 KIAA1733 RPEL1	PHAR1_HUMAN
Q9H814	PHAX RNUXA	PHAX_HUMAN
P35232	PHB	PHB_HUMAN
Q9UPV7	PHF24 KIAA1045	PHF24_HUMAN
Q92576	PHF3 KIAA0244	PHF3_HUMAN
Q9P1Y6	PHRF1 KIAA1542	PHRF1_HUMAN
Q9UMS5	PHTF1 PHTF	PHTF1_HUMAN
O14813	PHOX2A ARIX PMX2A	PHX2A_HUMAN
Q96JY6	PDLIM2 PP6345	PDLI2_HUMAN
A8MUH7	PDZK1P1 PDZK1P2	PDZ1P_HUMAN
Q76G19	PDZD4 KIAA1444 PDZK4 PDZRN4L	PDZD4_HUMAN
P43116	PTGER2	PE2R2_HUMAN
P43115	PTGER3	PE2R3_HUMAN
P35408	PTGER4 PTGER2	PE2R4_HUMAN
Q15121	PEA15	PEA15_HUMAN
Q96S96	PEBP4 CORK1 UNQ1933/PRO4408	PEBP4_HUMAN
Q8N2H9	PELI3	PELI3_HUMAN
Q9BRX2	PELO CGI-17	PELO_HUMAN
P01210	PENK	PENK_HUMAN
P22079	LPO SAPX	PERL_HUMAN
Q8N0Y7	PGAM4 PGAM3	PGAM4_HUMAN
Q6P3X8	PGBD2	PGBD2_HUMAN
Q96GW7	BCAN BEHAB CSPG7 UNQ2525/PRO6018	PGCB_HUMAN
P15428	HPGD PGDH1 SDR36C1	PGDH_HUMAN
P23219	PTGS1 COX1	PGH1_HUMAN
P07205	PGK2 PGKB	PGK2_HUMAN
Q8NBL1	POGLUT1 C3orf9 CLP46 KTELC1 MDSRP MDS010 UNQ490/PRO1006	PGLT1_HUMAN
Q15124	PGM5 PGMRP	PGM5_HUMAN
O75594	PGLYRP1 PGLYRP PGRP TNFSF3L SBBI68 UNQ639/PRO1269	PGRP1_HUMAN
Q96LB9	PGLYRP3 PGRPIA	PGRP3_HUMAN
Q92696	RABGGTA	PGTA_HUMAN
O75167	PHACTR2 C6orf56 KIAA0680	PHAR2_HUMAN
P78364	PHC1 EDR1 PH1	PHC1_HUMAN
Q9UIL8	PHF11 BCAP	PHF11_HUMAN
Q86YI8	PHF13	PHF13_HUMAN
Q5T6S3	PHF19 PCL3	PHF19_HUMAN
Q9BVI0	PHF20 C20orf104 GLEA2 HCA58 NZF TZP	PHF20_HUMAN
O75151	PHF2 CENP-35 KIAA0662	PHF2_HUMAN
Q8IWS0	PHF6 CENP-31 KIAA1823	PHF6_HUMAN
Q8WWQ0	PHIP WDR11	PHIP_HUMAN
Q9Y5J5	PHLDA3 TIH1	PHLA3_HUMAN
Q5JUK9	PAGE3 GAGED1	PAGE3_HUMAN
Q9BTK6	PAGR1 C16orf53 PA1	PAGR1_HUMAN
Q8TE04	PANK1 PANK	PANK1_HUMAN
Q9H999	PANK3	PANK3_HUMAN
O00254	F2RL2 PAR3	PAR3_HUMAN
Q96RI0	F2RL3 PAR4	PAR4_HUMAN
Q6UWI2	PARM1 UNQ1879/PRO4322	PARM1_HUMAN
P0C8F1	PATE4	PATE4_HUMAN
Q86U86	PBRM1 BAF180 PB1	PB1_HUMAN
Q9BVG4	PBDC1 CXorf26	PBDC1_HUMAN
P30039	PBLD MAWBP	PBLD_HUMAN
Q15366	PCBP2	PCBP2_HUMAN
P05165	PCCA	PCCA_HUMAN
Q9P2E7	PCDH10 KIAA1400	PCD10_HUMAN
Q9Y5E2	PCDHB7	PCDB7_HUMAN
Q9Y5E9	PCDHB14	PCDBE_HUMAN
Q96TA0	PCDHB18P PCDHB18	PCDBI_HUMAN
Q9Y5I4	PCDHAC2	PCDC2_HUMAN
Q9Y5H1	PCDHGA2	PCDG2_HUMAN
Q9Y5H0	PCDHGA3	PCDG3_HUMAN
Q9Y5G4	PCDHGA9	PCDG9_HUMAN
Q9Y5H3	PCDHGA10	PCDGA_HUMAN
Q9Y5F6	PCDHGC5	PCDGM_HUMAN
Q08174	PCDH1	PCDH1_HUMAN
P35558	PCK1 PEPCK1	PCKGC_HUMAN
Q7Z2X4	PID1 NYGGF4 PCLI1 HMFN2073	PCLI1_HUMAN
Q9Y5K3	PCYT1B CCTB	PCY1B_HUMAN
Q9BQ51	PDCD1LG2 B7DC CD273 PDCD1L2 PDL2	PD1L2_HUMAN
Q6L8Q7	PDE12	PDE12_HUMAN
Q01064	PDE1B PDE1B1 PDES1B	PDE1B_HUMAN
O00408	PDE2A	PDE2A_HUMAN
P16499	PDE6A PDEA	PDE6A_HUMAN
O43924	PDE6D PDED	PDE6D_HUMAN
Q13946	PDE7A	PDE7A_HUMAN
P13667	PDIA4 ERP70 ERP72	PDIA4_HUMAN
Q8N807	PDILT	PDILT_HUMAN
Q9Y2S7	POLDIP2 PDIP38 POLD4 HSPC017	PDIP2_HUMAN
Q9BY77	POLDIP3 KIAA1649 PDIP46	PDIP3_HUMAN
Q8N165	PDIK1L CLIK1L	PDK1L_HUMAN
Q15118	PDK1 PDHK1	PDK1_HUMAN
Q96HC4	PDLIM5 ENH L9	PDLI5_HUMAN
Q9P0J1	PDP1 PDP PPM2C	PDP1_HUMAN
O15530	PDPK1 PDK1	PDPK1_HUMAN
Q8IZL8	PELP1 HMX3 MNAR	PELP1_HUMAN
Q02548	PAX5	PAX5_HUMAN
P57721	PCBP3	PCBP3_HUMAN
Q96NT5	SLC46A1 HCP1 PCFT	PCFT_HUMAN
Q9BSM1	PCGF1 NSPC1 RNF68	PCGF1_HUMAN
Q9BYE7	PCGF6 MBLR RNF134	PCGF6_HUMAN
Q15645	TRIP13 PCH2	PCH2_HUMAN
Q9H4Z3	PCIF1 C20orf67	PCIF1_HUMAN
Q15154	PCM1	PCM1_HUMAN
Q9NV79	PCMTD2 C20orf36	PCMD2_HUMAN
O95613	PCNT KIAA0402 PCNT2	PCNT_HUMAN
Q9H6A9	PCNX3 PCNXL3	PCX3_HUMAN
Q63HM2	PCNX4 C14orf135 FBP2 PCNXL4	PCX4_HUMAN
Q15116	PDCD1 PD1	PDCD1_HUMAN
Q8NB37	PDDC1	PDDC1_HUMAN
Q9Y233	PDE10A	PDE10_HUMAN
P04085	PDGFA PDGF1	PDGFA_HUMAN
Q9H792	PEAK1 KIAA2002	PEAK1_HUMAN
Q13951	CBFB	PEBB_HUMAN
P36955	SERPINF1 PEDF PIG35	PEDF_HUMAN
Q9NZ42	PSENEN PEN2 MDS033	PEN2_HUMAN
O15055	PER2 KIAA0347	PER2_HUMAN
